id,brand_intl_name,brand_name,checkin_count,f1,f2,f3,f4,f5,f6,flavour_tags,intl_name,name,pictures,rank,score,similar_brands,year_month
1216,Tochigi,栃木県,340,0.3445315361022949,0.5436967611312866,0.31182974576950073,0.48550090193748474,0.3329404592514038,0.3766876757144928,ガス|旨味|ワイン|酸味|苦味|スッキリ|ふんわり|辛口|フルーティ|厚み|メロン|バランス|しっかり|キレ|穏やか|まろやか|甘味|ジューシー|綺麗|フレッシュ,Tsujizenbee,辻善兵衛,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/13MI93zeIbmsBF|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/KxJQ4a5QFNicZ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/10Gehe8ZewEAQw,18,4.006600856781006,まんさくの花|大那|雁木|雨後の月|上川大雪,202512
251,Tochigi,栃木県,465,0.34832829236984253,0.5736410617828369,0.45753535628318787,0.3845341205596924,0.25302377343177795,0.3582976758480072,ガス|旨味|ヤクルト|酸味|甘酸っぱい|フルーティ|キャラメル|華やか|さわやか|いちご|甘味|ワイン|濃厚|ヨーグルト|辛口|しっかり|スッキリ|バランス|キレ|優しい,Sawahime,澤姫,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/AmjkrMfHYE8MN|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2enoawBbQ7ni2a|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/14WlgipGDfeZyS,19,4.006600379943848,旭興|ちえびじん|五橋|十六代九郎右衛門|獅子の里,202512
2581,Tochigi,栃木県,261,0.4986684024333954,0.5241400599479675,0.2811357080936432,0.3587414622306824,0.186031311750412,0.4840109944343567,酸味|マスカット|フルーティ|旨味|ガス|甘酸っぱい|安定|メロン|バランス|リンゴ|華やか|レモン|フレッシュ|スッキリ|さわやか|スモーキー|さっぱり|甘味|軽快|心地よい,,霧降,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1mZWy32iqS1XPJ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/owhRlhhrZR3EL|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2aKCyCOEbEHskm,20,4.006600379943848,AKABU|楽器正宗|亀の海|大嶺|Ohmine Junmai,202512
287,Gunma,群馬県,5231,0.5488316416740417,0.6195955872535706,0.19143782556056976,0.24858294427394867,0.22062399983406067,0.409595251083374,いちご|メロン|フルーティ|桃|甘味|酸味|ジューシー|リンゴ|ジュース|甘酸っぱい|華やか|旨味|フレッシュ|綺麗|ワイン|苦味|ガス|さわやか|余韻|スッキリ,Oze no Yukidoke,尾瀬の雪どけ,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1zfi0kpBuqVYYL|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1i2hqxAmsTt2Tj|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2EypbOi3B4wxUH,1,4.412219047546387,鳳凰美田|ちえびじん|流輝|東洋美人|紫宙,202512
272,Gunma,群馬県,2795,0.5166566967964172,0.4647124111652374,0.22062572836875916,0.3155461251735687,0.30378806591033936,0.5259048938751221,ガス|フルーティ|甘味|スッキリ|辛口|旨味|酸味|シャンパン|桃|ワイン|さわやか|洋梨|フレッシュ|華やか|苦味|綺麗|バランス|上品|軽快|柔らかい,Mizubasho,水芭蕉,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2BRQW6QZ1zBFf7|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1lFzosR0r0zHqo|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2dIPHVNqJ0CyLm,2,4.067091941833496,七賢|月山|上喜元|手取川|紀土,202512
1160,Gunma,群馬県,3060,0.5123003721237183,0.4485226571559906,0.16868647933006287,0.2210119664669037,0.27179786562919617,0.6206450462341309,ガス|フルーティ|苦味|フレッシュ|ジューシー|酸味|ラムネ|甘味|旨味|さわやか|ピチピチ|パイナップル|バランス|ピリリ|リンゴ|キレ|スッキリ|華やか|メロン|マスカット,,町田酒造,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/knt5yio7xpfs1|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/sW4PfrMbZWfNL|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2wMZ5totNCDhyj,3,4.044942378997803,咲耶美|総乃寒菊|五十嵐|聖|御湖鶴,202512
3704,Gunma,群馬県,2124,0.5055999159812927,0.44790175557136536,0.20493283867835999,0.24830779433250427,0.24002790451049805,0.618453860282898,ガス|酸味|ジュース|フルーティ|甘味|フレッシュ|リンゴ|甘酸っぱい|旨味|さわやか|苦味|パイナップル|ラムネ|ジューシー|バランス|ヨーグルト|スッキリ|しっかり|ゴクゴク|華やか,Hijiri,聖,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/pFFOgkgsVxycr|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/WJJca6zEINtWk|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/24Jo7dXPm3ojOu,4,4.02097749710083,町田酒造|咲耶美|総乃寒菊|風の森|澤屋まつもと,202512
15162,Gunma,群馬県,1941,0.191571906208992,0.6327304840087891,0.5493327379226685,0.43038132786750793,0.1387428492307663,0.23813487589359283,酸味|常温|ヨーグルト|旨味|濃厚|甘味|紹興酒|バナナ|醤油|コク|しっかり|アミノ酸|苦味|冷酒|複雑|軽快|ガス|甘酸っぱい|まろやか|フルーティ,Tsuchida,土田,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1TEIQqVqKRwvka|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/NMalgDiZzWCBm|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2tF0N81L2cYfsy,5,4.015344142913818,杉錦|大倉|車坂|玉川|天狗舞,202512
276,Gunma,群馬県,1619,0.40294715762138367,0.5148246884346008,0.30905914306640625,0.3379436731338501,0.32144585251808167,0.5094489455223083,ガス|酸味|キレ|旨味|バナナ|爽快|甘味|メロン|フレッシュ|フルーティ|しっかり|苦味|ジューシー|辛口|セメダイン|濃厚|複雑|リンゴ|さわやか|力強い,Oosakazuki,大盃,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/t1QqpHgxCRSUQ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/20ZTNPENNQ0iJR|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/MkI2h5LW3rpq,6,4.012668609619141,不動|望|出羽鶴|七田|武勇,202512
1073,Gunma,群馬県,1603,0.4920347034931183,0.5331764221191406,0.21674878895282745,0.2887704074382782,0.2555673122406006,0.527201771736145,酸味|甘味|甘酸っぱい|ガス|桃|フルーティ|柑橘|ジュース|苦味|いちご|グレープフルーツ|さわやか|旨味|フレッシュ|スッキリ|辛口|ジューシー|綺麗|さっぱり|バランス,Ruka,流輝,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2PWOte9z5P95rR|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/akB50BXWwyBN2|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2J2sZiFYc5515h,7,4.010026931762695,五橋|飛鸞|山本|彩來|みやさか,202512
